,Mission ID,Mission Date,Theater of Operations,Country,Aircraft Series,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target Country,Target City,Target Latitude,Target Longitude,Altitude,High Explosives,High Explosives Type,High Explosives Weight LBS,High Explosives Weight Tons,Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight LBS,Incendiary Devices Weight Tons,Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight LBS,Fragmentation Devices Weight Tons,Total Weight LBS,Total Weight Tons
116873,117334,5/1/1945,PTO,USA,B24,,,,,FORMOSA AND RYUKYU ISLANDS,SHIMPI,22.03333333,120.55,105.0,,,,,,500 LB INCENDIARY,,3.0,,,,,,3.0
116914,117375,5/2/1945,PTO,USA,B24,,,,,CELEBES ISLANDS,4 41 S 122 2,-4.683333333,122.4,2.0,200.0,250 LB GP (GP-M57),,,,,,,,,,,,
116931,117392,5/2/1945,PTO,USA,B29,,,,,JAPAN,KOKUBU,31.71666667,130.75,189.0,40.0,500 LB GP (GP-M43/M64),,10.0,,,,,,,,,,10.0
116963,117424,12/5/1944,ETO,,GB17,,,,,GERMANY,GRANSEE,53.0,13.25,252.0,,,,17.0,,,,11.0,,,,,,28.0
117002,117463,12/5/1944,ETO,,B26,,,,,FRANCE,DIEFFLEN,49.38,6.77,125.0,,,,1.0,,,,,,,,,,1.0
117027,117488,12/5/1944,CBI,USA,B25,,,,,BURMA,KYAUKPADAUNG,20.83333333,95.11666667,44.0,,100 LB GP (GP-M30),,14.0,,,,,,,,,,14.0
117039,117500,12/6/1944,PTO,USA,B24,,,,,CELEBES ISLANDS,BOROBORO,-4.333333333,122.36666670000001,100.0,48.0,500 LB GP (GP-M43/M64),,12.0,,,,,,,,,,12.0
117116,117577,4/2/1942,CBI,USA,LB30,ASANSOL,INDIA,23.631111,86.975,ANDAMAN ISLANDS,POINT BLAIR,11.684045,92.735339,,,,6000,3.0,,,,0.0,,,,0.0,6000.0,3.0
117117,117578,4/3/1942,CBI,USA,B17,ASANSOL,INDIA,23.631111,86.975,BURMA,RANGOON,16.769211,96.158739,,,,,,,,,,,,,,,
117164,117625,5/30/1944,ETO,,B24,,,,,GERMANY,ZWISCHENAHN,53.18,8.0,220.0,,,,75.0,,,,,,,,,,75.0
117182,117643,5/30/1944,ETO,,B24,,,,,GERMANY,ROTENBURG,53.11,9.41,200.0,,,,72.0,,,,,,,,,,72.0
117187,117648,5/30/1944,ETO,,B17,,,,,FRANCE,TROYES,48.3,4.07,196.0,,,,63.0,,,,,,,,,,63.0
117202,117663,5/30/1944,ETO,,B26,,,,,FRANCE,MEULAN,49.02,1.9,116.0,,,,71.0,,,,,,,,,,71.0
117220,117681,5/30/1944,ETO,,B24,,,,,GERMANY,HANDORF,51.97,7.67,,,,,,,,,13.0,,,,,,13.0
117237,117698,5/30/1944,MTO,USA,B26,,,,,ITALY,MONTEROTONDO,42.05,12.6,97.0,,,,48.0,,,,,,,,,,48.0
117245,117706,5/2/1945,PTO,USA,P51,,,,,PHILIPPINE ISLANDS,16 08 N 120 5,16.13333333,120.83333329999999,40.0,24.0,500 LB GP (GP-M43/M64),,6.0,,,,,,,,,,6.0
