,Mission ID,Mission Date,Theater of Operations,Country,Aircraft Series,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target Country,Target City,Target Latitude,Target Longitude,Altitude,High Explosives,High Explosives Type,High Explosives Weight LBS,High Explosives Weight Tons,Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight LBS,Incendiary Devices Weight Tons,Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight LBS,Fragmentation Devices Weight Tons,Total Weight LBS,Total Weight Tons
18023,18024,11/5/1943,MTO,USA,A36,GUADO AIRFIELD,ITALY,40.62,14.9125,ITALY,45 00 N 012 00 E,45,12,,0,500 LB GP (GP-M43/M64),,0,,,,,,,,,,0
18325,18326,11/6/1943,MTO,USA,A36,GUADO AIRFIELD,ITALY,40.62,14.9125,ITALY,41 20 N 009 00 E,41.33,9,,12,500 LB GP (GP-M43/M64),,3,,,,,,,,,,3
18330,18331,11/6/1943,MTO,USA,A36,GUADO AIRFIELD,ITALY,40.62,14.9125,ITALY,SAN VITTORE,46.3,9.37,,0,500 LB GP (GP-M43/M64),,0,,,,,,,,,,0
18344,18345,11/7/1943,PTO,NEW ZEALAND,PV-1 VENTURA,BOUGAINVILLE ISLAND,SOLOMON ISLANDS,-6.244444,155.383889,SOLOMON ISLANDS,KIETA,-6.283333333,155.75,,18,500 LB GP (GP-M43/M64),9000,4.5,,,,0,,,,0,9000,4.5
18346,18347,11/7/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,GARIGLIANO,39.87,18.37,,12,500 LB GP (GP-M43/M64),,3,,,,,,,,,,3
18347,18348,11/7/1943,MTO,USA,A36,GUADO AIRFIELD,ITALY,40.62,14.9125,ITALY,SAN ANDREA,42.8,10.13,,12,500 LB GP (GP-M43/M64),,3,,,,,,,,,,3
18665,18666,11/9/1943,EAST AFRICA,GREAT BRITAIN,LIB,OUDNA,TUNISIA,36.649608,10.121936,,ARNO VALLEY,43.68,10.33,,,,,,,,,0,,,,0,,10
18668,18669,11/9/1943,EAST AFRICA,GREAT BRITAIN,LIB,OUDNA,TUNISIA,36.649608,10.121936,,TALAMONE,42.55,11.13,,,,,,,,,0,,,,0,,2.75
18694,18695,11/10/1943,MTO,USA,A36,GUADO AIRFIELD,ITALY,40.62,14.9125,ITALY,CERVARO,41.47,13.9,,0,500 LB GP (GP-M43/M64),,0,,,,,,,,,,0
18695,18696,11/10/1943,MTO,USA,A36,GUADO AIRFIELD,ITALY,40.62,14.9125,ITALY,ROME,41.9,12.47,,0,500 LB GP (GP-M43/M64),,0,,,,,,,,,,0
